rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing primary CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,Two equally prominent CTAs in the hero split user attention and dilute the primary conversion path.,Two equally prominent CTAs in the hero split user attention and dilute the primary conversion path.,h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Use a single primary CTA to 'Shop All' to reduce friction and let users explore without an initial gender choice.,"Hero section contains both 'SHOP MEN' and 'SHOP WOMEN' CTAs, with no single primary action. | H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline to clarify the brand's specific benefits.","Funnel-Path & Commerce Clarity, Message Clarity",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_primary_ctas.html
2,Shipping delay warning,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,The prominent 'orders may take up to 30 days to ship' warning creates immediate purchase hesitation and undermines trust in delivery reliability.,The prominent 'orders may take up to 30 days to ship' warning creates immediate purchase hesitation and undermines trust in delivery reliability.,h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Replace with a reassuring message like 'Free shipping on orders over $100' or 'Most orders ship within 2-3 days' and move any delay notice to a less prominent location or provide an option for expedited shipping.,"Body sample: 'Due to increased demand, orders may take up to 30 days to ship.' appears prominently near the top of the page.",Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_shipping_delay_warning.html
3,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, leaving them to infer the value proposition.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, leaving them to infer the value proposition.","h1: Shoes That Feel Like Clouds, Made from the Earth; cta: Shop Men's Shoes / Shop Women's Shoes; notes: A more concrete headline that directly states the dual benefit of comfort and sustainability, with CTAs that specify the product category.",H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline to clarify the brand's specific benefits.,Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_3_vague_hero_copy.html
4,Free shipping threshold hidden,HIGH,Homepage,Low,0.5-2 days,5,10,no,trust|conversion,"The homepage hero promotes 'Wildly Comfortable. Super Natural.' without mentioning the $100 free shipping threshold, which is only disclosed in the sitewide banner and cart, creating an expectation of free shipping that may not be met.","The homepage hero promotes 'Wildly Comfortable. Super Natural.' without mentioning the $100 free shipping threshold, which is only disclosed in the sitewide banner and cart, creating an expectation of free shipping that may not be met.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100; cta: SHOP MEN / SHOP WOMEN; notes: Add free shipping threshold to hero or subheadline to set accurate expectations.,Homepage hero copy: 'Wildly Comfortable. Super Natural.' Sitewide banner: 'Free ground shipping on orders over $100' Cart drawer: 'Spend more to earn free shipping! Shipping $5.00',Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,HIGH,Navigation,Low,0.5-2 days,5,10,no,conversion,"The mega-menu presents 20+ nav items with multiple sub-levels, risking choice overload and decision paralysis for users.","The mega-menu presents 20+ nav items with multiple sub-levels, risking choice overload and decision paralysis for users.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Reduce top-level nav items to 5-7, consolidate sub-categories, and use clear labels to reduce cognitive load.","nav_items list contains 20 items including 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_mega_menu_choice_overload.html
6,Heavy third-party script load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 41 inline and 22 external <script> tags, 707 KB of HTML.",Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_heavy_third_party_script_load.html
7,Hidden cost: shipping fee,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"Free shipping threshold is not clearly communicated on product pages, risking surprise at checkout.","Free shipping threshold is not clearly communicated on product pages, risking surprise at checkout.",h1: Anytime Ankle Sock; cta: Add to Cart; notes: Display 'Free shipping on orders over $100' near the price or add-to-cart button to set expectations and encourage larger orders.,Product page shows 'Get Notified' and 'Learn More' CTAs but no mention of free shipping threshold; cart drawer shows 'Shipping $5.00' and 'Spend more to earn free shipping!',Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_hidden_cost_shipping_fee.html
8,Missing review count,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page shows a reviews section but lacks a visible review count or rating summary, reducing social proof and increasing uncertainty about product quality.","The product page shows a reviews section but lacks a visible review count or rating summary, reducing social proof and increasing uncertainty about product quality.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a star rating and review count (e.g., '4.8/5 from 1,200+ reviews') directly under the product title or near the price to provide immediate social proof.",H2s include 'Reviews for Anytime Ankle Sock' but no review count or star rating is visible in the provided content.,Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_missing_review_count.html
9,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_controls_without_accessible_names.html
10,Images missing alternative text,MEDIUM,Accessibility,Low,0.5-2 days,2,10,yes,traffic,"3 of 43 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","3 of 43 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","notes: Add descriptive alt text; use alt="""" only for decorative images.",Measured on the live homepage: 3 of 43 <img> elements have no alt attribute.,Technical & Accessibility,17690,70762,"2,160,000 annual visits x 2.10% conversion x 0.5-2.0% relative lift x $78 order value",1847435,616,finding_10_images_missing_alternative_text.html
